method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1201.140613080758,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[235.0662037037037, 1212.185, 1466.14, 112.54447852760737, 137.34347826086957, 1193.247, 133.88877551020408, 1226.63, 1171.456, 122.90519480519481]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,157.68594825432695,28.740000000000002,2538.4,2.0259482543269174,6.0,10.733928571428573,19.109166666666667,8.375238095238094,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.2670725391884385, 3.5463567673223793, 0.5435633775441666, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[250.45161290322582, 159.91428571428574, 120.48906810035844, 136.31181818181818, 145.35535055350556, 126.22500000000001, 166.6012658227848, 206.9418429003021, 118.41102941176472, 146.1582089552239]","[31.0, 28.0, 27.900000000000002, 27.5, 27.1, 27.200000000000003, 31.6, 33.1, 27.200000000000003, 26.8]"
ga,0,2,1176.5157,100.0,62.3,0.40069999999999995,4.1,12.892314668423364,23.221108585858595,10.328793917435222,False,7.3,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.996182265488238, 3.9185400104340022, 1.775283443634367, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1169.908, 1222.047, 1173.205, 1163.581, 1180.847, 1152.328, 1161.357, 1176.788, 1161.696, 1203.4]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,3,1402.1709,100.0,20.0,0.1709,1.7,22.484833333333334,51.49064285714286,29.005809523809525,False,30.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.4836436965475905, 1.7054298579632348, 2.5148508456092156, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1400.954, 1383.09, 1412.487, 1380.438, 1420.628, 1410.709, 1380.748, 1400.641, 1410.925, 1421.089]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,4,1236.6471,100.0,6.4,0.3271,3.2,13.738608327860652,25.616932539682544,11.87832421182189,False,13.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.4138971831347744, 4.032910843487287, 2.936932299349427, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1240.5819999999999, 1240.914, 1270.432, 1230.442, 1240.747, 1190.518, 1220.602, 1250.873, 1240.658, 1240.703]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,1095.6279308054534,53.989999999999995,609.3,1.1729308054533143,5.0,12.221699134199135,22.268257575757577,10.046558441558442,False,1.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.9149610112697584, 1.239330339312601, 1.2389044327085734, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[116.44344262295083, 1176.685, 1131.412, 54.48424657534247, 52.68731778425656, 61.484905660377365, 71.41842105263157, 65.42266666666666, 1169.399, 56.84230769230769]","[36.6, 100.0, 100.0, 29.200000000000003, 34.300000000000004, 31.8, 38.0, 37.5, 100.0, 32.5]"
ga,0,6,1122.9526543875777,87.76,151.1,0.6376543875777565,4.0,13.185087412587412,23.80219696969697,10.61710955710956,False,2.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.249659238483234, 2.6030481126670924, 2.1351886210306423, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1139.838, 1164.587, 1132.864, 1142.851, 1163.226, 1136.551, 50.490515222482436, 1124.3319999999999, 47.71002865329513, 1127.077]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 42.7, 100.0, 34.9, 100.0]"
ga,0,7,1292.5884,100.0,4.3,0.3734,3.0,17.178691257272142,31.981000000000005,14.802308742727863,False,19.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.9082323322730466, 4.091224580865629, 1.6450724942504817, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1290.481, 1280.863, 1340.586, 1290.462, 1280.659, 1270.482, 1250.616, 1270.526, 1320.632, 1330.577]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,1293.6154,100.0,4.3,0.40040000000000003,2.7,20.155248901425374,31.530420634920638,11.375171733495263,False,19.3,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.141811451897227, 4.879793001734997, 1.7240814628528023, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1330.514, 1260.812, 1330.425, 1300.682, 1310.551, 1270.627, 1240.472, 1250.745, 1310.702, 1330.624]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,9,1305.5503,100.0,4.3,0.3353,2.9,15.675073593073595,27.605333333333334,11.930259740259741,False,20.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.090534738335224, 4.110054388976939, 1.7974123062003358, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1260.956, 1290.808, 1330.381, 1320.348, 1280.462, 1300.407, 1310.459, 1290.5, 1310.613, 1360.569]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
