method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1206.408439090859,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[238.13822751322752, 1217.3620833333334, 1471.2665000000002, 115.3075737657026, 141.23514492753625, 1198.9456666666667, 140.6965136054422, 1235.0605555555555, 1176.124668831169, 129.94745670995673]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,1092.9012058157027,58.989999999999995,361.4,1.078942407814352,4.6,11.09471560846561,20.619242424242422,9.524526815776817,False,1.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.7233092774917145, 1.8611630633737086, 2.462013529924943, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[73.72544923629829, 1157.7515833333334, 1141.5783905723906, 54.879040020263425, 45.22185534591195, 1150.349, 61.14271491782554, 70.07741969568893, 1125.9777077922079, 48.30889724310778]","[31.8, 100.0, 100.0, 28.200000000000003, 31.8, 100.0, 33.9, 33.800000000000004, 100.0, 30.400000000000002]"
ga,0,2,1143.0127293741198,93.53,248.4,0.5454441926345609,3.9,13.08664175824176,24.12121212121212,11.034570362970362,False,3.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.997263107624118, 1.5422099498649482, 2.806814216057286, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1168.301, 1197.743, 1144.1962867132868, 1154.6071666666667, 1150.9085, 1149.9365, 1138.224153846154, 1137.4956296296295, 1132.6434006734007, 56.0716562120599]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 35.300000000000004]"
ga,0,3,1092.1197318071743,60.3,315.4,1.044779835072382,4.6,11.637368783068784,21.64727272727273,10.009903944203945,False,1.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.359724568924991, 1.884278288823562, 2.9329420365822347, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[58.10227743271222, 1157.8961666666667, 1140.2217643097642, 45.966715423370715, 50.61105748605749, 1149.1793333333333, 67.33730873235722, 79.27061287477956, 1124.816564935065, 47.79551687763714]","[32.2, 100.0, 100.0, 29.3, 33.300000000000004, 100.0, 36.1, 40.5, 100.0, 31.6]"
ga,0,4,1365.229513997114,100.0,4.3,0.2499,2.4,18.7595101010101,38.2887380952381,19.529227994227995,False,25.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.200169220602143, 4.046929752847799, 2.2022405782021104, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1333.4402857142857, 1421.093, 1372.624, 1414.211, 1338.1075584415585, 1328.6975, 1367.4491666666668, 1374.8373333333334, 1349.4494545454545, 1352.3858412698412]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,1170.202799311186,42.28000000000001,2344.6,1.6036624064242013,5.4,13.09672619047619,23.275000000000002,10.17827380952381,False,0.4,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.40819655400593, 0.2509468056999475, 2.7369955077069923, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[195.08032553729458, 1233.3020833333333, 133.02282913165268, 158.4057712215321, 160.6192605941459, 149.01679030662712, 180.4857142857143, 205.75239894446443, 142.66214933103151, 143.68067042606515]","[33.9, 100.0, 35.7, 34.5, 32.7, 33.7, 41.5, 39.7, 33.1, 38.0]"
ga,0,6,1162.112048075998,100.0,238.0,0.462,4.5,17.224646272246275,30.724742424242425,13.500096151996152,False,4.3,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.9107993666919065, 2.012510462500569, 1.3866975930372576, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1222.318, 1191.9543333333334, 1132.8821986531987, 1147.6888333333334, 1188.1576363636364, 1124.4216296296297, 1155.5865555555556, 1147.2904285714285, 1131.9001986531987, 1178.9206666666666]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,7,1141.3371934852275,94.12,244.6,0.534473786407767,4.1,12.917893935693936,23.823333333333338,10.905439397639398,False,2.9,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.294667795355985, 1.8004392806021121, 1.768949770372925, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1151.1412948717948, 1191.8588333333332, 1145.1331328671329, 1151.40525, 1153.3950833333333, 1150.776, 59.67838072122053, 1138.4550555555556, 1130.2706734006733, 1141.2582307692307]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 41.2, 100.0, 100.0, 100.0]"
ga,0,8,1242.1906070041568,74.11,2899.3,1.0261789322287893,5.5,14.621446886446886,26.80030303030303,12.178856143856143,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.9175849432805243, 0.3704939843413297, 1.1260230008242509, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1373.4212447552447, 1224.2311666666667, 183.5809065934066, 177.24670611646417, 1322.2164965034965, 164.54999999999998, 1332.2389300699301, 191.7839285714286, 142.27079566003619, 1310.3658951048951]","[100.0, 100.0, 78.0, 34.1, 100.0, 44.0, 100.0, 45.5, 39.5, 100.0]"
ga,0,9,1214.3417795347034,100.0,15.4,0.3629,3.6,13.1940641629164,23.611823232323236,10.417759069406836,False,10.8,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.220718887218482, 4.108956631664178, 2.1683135655896724, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1208.2558851674642, 1226.883111111111, 1235.6531842105264, 1203.1965, 1204.226111111111, 1196.8645252525253, 1188.4407004830919, 1236.6157142857144, 1166.0774166666667, 1277.2046470588236]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
