method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1211.6762651009599,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[241.21025132275133, 1222.5391666666667, 1476.393, 118.07066900379785, 145.1268115942029, 1204.6443333333334, 147.50425170068027, 1243.4911111111112, 1180.7933376623378, 136.9897186147186]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,1270.4539319226526,100.0,20.1,0.3505,3.3,13.696173777203189,27.794605699855698,14.098431922652509,False,15.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.5842314300652145, 2.316673996498971, 1.2608989211596409, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1242.7558823529412, 1262.1086363636364, 1292.359642857143, 1311.7393333333334, 1293.3277692307693, 1213.4295238095237, 1224.2604761904763, 1286.9685630252102, 1279.5392063492063, 1298.0502857142858]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,2,1217.1300049984827,100.0,113.1,0.3705,4.1,12.829967223739601,21.934472222222222,9.104504998482621,False,10.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.8274504268389613, 2.0983573320492717, 1.4479143750346395, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1200.9279999999999, 1239.5116666666668, 1204.1359797979799, 1188.9835454545455, 1210.6648253968253, 1206.7242222222221, 1206.7037173913043, 1176.8603846153846, 1223.5894927536233, 1313.1982156862746]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,3,1666.4983,100.0,1828.4,0.07830000000000001,1.1,,52.9787037037037,,False,37.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.24844727827057878, 2.4180413767178948, 0.7580357219261107, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1699.449, 1707.55, 1653.489, 1651.2640000000001, 1650.839, 1645.408, 1662.6390000000001, 1663.209, 1667.838, 1663.298]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,4,1391.2910055555556,100.0,90.4,0.2102,2.1,16.254194444444444,48.815,32.560805555555554,False,25.4,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.7098185345446579, 1.0573728356339642, 2.7424269027572685, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1356.6939444444445, 1359.2638333333334, 1392.9794444444444, 1413.372, 1408.0822222222223, 1411.65, 1373.5547222222222, 1399.2722222222224, 1416.9026666666666, 1381.1390000000001]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,163.08713027741192,28.790000000000003,2483.7,1.9461778964595375,5.9,10.673214285714284,18.839166666666667,8.16595238095238,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.24762166886449, 2.936877228708673, 0.5316667000396589, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[211.1788786482335, 174.84761904761905, 131.29278033794165, 146.07510822510824, 150.07547004041467, 123.02524509803922, 170.68675595238096, 228.08188153310107, 128.7127801120448, 166.8947837792361]","[31.0, 28.0, 27.900000000000002, 26.400000000000002, 27.1, 27.200000000000003, 32.0, 32.800000000000004, 27.200000000000003, 28.3]"
ga,0,6,1068.273989596815,48.150000000000006,143.9,1.3452197555452248,4.5,14.336230158730157,24.92,10.583769841269843,False,0.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.2515169417782084, 2.1120964969276086, 0.9591750448422096, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[73.79360386828253, 47.083107839235964, 51.609007187780776, 47.06326860841424, 81.46739145160197, 1133.2232222222221, 59.33391734052112, 73.69613095238095, 55.60248618784531, 59.86776030986558]","[38.900000000000006, 35.9, 37.1, 30.900000000000002, 70.3, 100.0, 42.400000000000006, 48.0, 36.2, 41.800000000000004]"
ga,0,7,1252.4528730808752,100.0,40.9,0.3747,3.6,13.372374898922889,25.40554797979798,12.033173080875093,False,13.8,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.00835136435145, 2.1648207071348886, 1.357579960236201, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1236.2372222222223, 1262.227090909091, 1281.602, 1276.1394444444445, 1273.2957142857142, 1242.9861578947368, 1216.7119682539683, 1230.6133333333332, 1210.4966818181817, 1294.2191176470587]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,1117.7485847375744,73.72,332.7,0.8656534096431191,4.8,11.449189884189884,20.97712121212121,9.527931327931329,False,1.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.9288029955161683, 2.02257955063204, 1.2544729236112828, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[104.85641646489105, 1176.8719696969697, 1144.426972027972, 1137.1715897435897, 1137.3667435897437, 55.08880952380952, 65.24894957983193, 63.462834718374886, 1147.022356902357, 1145.9692051282052]","[35.4, 100.0, 100.0, 100.0, 100.0, 30.0, 35.7, 36.1, 100.0, 100.0]"
ga,0,9,1339.44539001554,100.0,4.3,0.29660000000000003,2.5,20.340948079698084,37.2747380952381,16.93379001554002,False,22.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.748585197918075, 4.922965710590531, 2.3958834293036615, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1325.9925238095238, 1322.6066666666666, 1369.7160714285715, 1299.748076923077, 1340.7925584415584, 1303.1779999999999, 1339.6052727272727, 1339.6382857142858, 1357.286, 1395.8904444444445]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,10,1471.7998619047619,100.0,11.3,0.11510000000000002,1.1,29.257142857142856,57.38216666666667,26.119761904761905,False,34.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.29290046367878203, 1.5956020297240616, 2.949330697024797, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1435.7553333333333, 1455.838, 1470.239, 1478.811, 1540.525, 1466.315, 1580.241, 1455.419, 1580.546, 1475.95]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,11,1104.8860192345346,51.760000000000005,673.8,1.2208377493530196,5.0,10.971712454212454,20.186893939393943,9.215181485181485,False,0.9,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.015220480281149, 1.1233135569563009, 2.7664932365822215, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[101.39242424242424, 1175.651, 1166.801888111888, 71.54880952380952, 57.52396313364055, 1156.7999743589744, 79.5589907604833, 94.14673579109065, 78.48953488372094, 66.9468715393134]","[30.8, 100.0, 100.0, 28.0, 31.0, 100.0, 33.5, 34.1, 30.1, 30.1]"
ga,0,12,1199.6522333301366,38.040000000000006,2986.6,1.826151079054379,6.1,11.707857142857142,21.163939393939394,9.45608225108225,False,0.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.2347969671598715, 0.2036358649513166, 0.5214594042458802, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 1.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1289.5195844155844, 224.69573934837095, 156.03637110016422, 205.49353526220614, 190.24250657318146, 157.83185920577617, 208.9753039513678, 216.15039682539683, 180.5381154156578, 167.03892120366064]","[100.0, 30.400000000000002, 29.0, 31.6, 32.6, 27.700000000000003, 32.9, 36.0, 29.5, 30.700000000000003]"
