method,fitness,search_fitness,search_fairness_weight,total_time,mean_congestion,peak_congestion,near_collisions,remaining_agents,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,best_params
fixed_default,42.18518008448498,42.18518008448498,1.0,30.066666666666666,4.388046134144138,12.333333333333334,91.33333333333333,0.0,5.508888888888889,17.316666666666666,11.807777777777776,True,"[2.0, 0.5, 2.0, 0.5, 1.0]"
random_search,22.253707602339183,22.253707602339183,1.0,15.133333333333335,5.925263157894737,16.333333333333332,556.3333333333334,0.0,2.505555555555556,8.773333333333333,6.267777777777777,True,"[4.60737341598033, 0.1618240295245535, 1.7167605307431193, 1.38132881121113, 0.9928734753027293]"
ga_no_fairness,14.943563442768411,10.789118998323968,0.0,9.833333333333334,6.8890466331460125,17.333333333333332,611.3333333333334,0.0,2.108888888888889,6.263333333333333,4.154444444444444,True,"[4.540882519192448, 0.1, 0.5, 0.14489966918765573, 0.6303158230969961]"
ga_fairness,15.035184258649696,15.035184258649696,1.0,9.866666666666667,6.890351839660596,17.333333333333332,617.3333333333334,0.0,2.1033333333333335,6.31,4.206666666666666,True,"[4.467045797792209, 0.1, 0.5, 0.120820073617805, 0.6823231834941732]"
