generation,best_fitness,generation_best_fitness,total_time,fairness_gap_time,remaining_agents,best_params
0,27.159404721356047,27.159404721356047,18.8,7.702222222222224,0.0,"[3.4435241299159034, 0.3637229921308911, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
1,27.159404721356047,27.159404721356047,18.8,7.702222222222224,0.0,"[3.4435241299159034, 0.3637229921308911, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
2,19.211773217140212,19.211773217140212,12.800000000000002,5.420000000000002,0.0,"[3.4435241299159034, 0.1, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
3,19.211773217140212,19.211773217140212,12.800000000000002,5.420000000000002,0.0,"[3.4435241299159034, 0.1, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
4,19.207751763236452,19.207751763236452,12.800000000000002,5.417777777777778,0.0,"[3.4487575248079487, 0.1, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
5,17.003441406899356,17.003441406899356,11.16666666666667,4.705555555555556,0.0,"[3.4462429798390435, 0.1, 0.5, 1.0034218724234816, 0.7638588516275455]"
6,17.003441406899356,17.003441406899356,11.16666666666667,4.705555555555556,0.0,"[3.4462429798390435, 0.1, 0.5, 1.0034218724234816, 0.7638588516275455]"
7,17.003441406899356,17.003441406899356,11.16666666666667,4.705555555555556,0.0,"[3.4462429798390435, 0.1, 0.5, 1.0034218724234816, 0.7638588516275455]"
8,16.0744400704868,16.0744400704868,10.433333333333335,4.64111111111111,0.0,"[3.4462429798390435, 0.1, 0.5, 0.32654607620059584, 0.7638588516275455]"
9,16.0744400704868,16.0744400704868,10.433333333333335,4.64111111111111,0.0,"[3.4462429798390435, 0.1, 0.5, 0.32654607620059584, 0.7638588516275455]"
10,15.120560089322804,15.120560089322804,9.9,4.275555555555555,0.0,"[4.4237092742110296, 0.1, 0.5, 0.1, 0.7638588516275455]"
11,15.120560089322804,15.120560089322804,9.9,4.275555555555555,0.0,"[4.4237092742110296, 0.1, 0.5, 0.1, 0.7638588516275455]"
12,15.04212566747129,15.04212566747129,9.866666666666667,4.2299999999999995,0.0,"[4.4237092742110296, 0.1, 0.5, 0.1, 0.7885978924142736]"
13,15.035184258649696,15.035184258649696,9.866666666666667,4.206666666666666,0.0,"[4.467045797792209, 0.1, 0.5, 0.120820073617805, 0.6823231834941732]"
14,15.035184258649696,15.035184258649696,9.866666666666667,4.206666666666666,0.0,"[4.467045797792209, 0.1, 0.5, 0.120820073617805, 0.6823231834941732]"
