generation,best_fitness,generation_best_fitness,total_time,fairness_gap_time,remaining_agents,best_params
0,19.457182499133822,19.457182499133822,18.8,7.702222222222224,0.0,"[3.4435241299159034, 0.3637229921308911, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
1,19.457182499133822,19.457182499133822,18.8,7.702222222222224,0.0,"[3.4435241299159034, 0.3637229921308911, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
2,13.791773217140209,13.791773217140209,12.800000000000002,5.420000000000002,0.0,"[3.4435241299159034, 0.1, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
3,13.791773217140209,13.791773217140209,12.800000000000002,5.420000000000002,0.0,"[3.4435241299159034, 0.1, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
4,13.789973985458673,13.789973985458673,12.800000000000002,5.417777777777778,0.0,"[3.4487575248079487, 0.1, 1.0508996819315284, 1.0034218724234816, 0.7638588516275455]"
5,12.297885851343798,12.297885851343798,11.16666666666667,4.705555555555556,0.0,"[3.4462429798390435, 0.1, 0.5, 1.0034218724234816, 0.7638588516275455]"
6,12.297885851343798,12.297885851343798,11.16666666666667,4.705555555555556,0.0,"[3.4462429798390435, 0.1, 0.5, 1.0034218724234816, 0.7638588516275455]"
7,12.297885851343798,12.297885851343798,11.16666666666667,4.705555555555556,0.0,"[3.4462429798390435, 0.1, 0.5, 1.0034218724234816, 0.7638588516275455]"
8,11.43332895937569,11.43332895937569,10.433333333333335,4.64111111111111,0.0,"[3.4462429798390435, 0.1, 0.5, 0.32654607620059584, 0.7638588516275455]"
9,11.43332895937569,11.43332895937569,10.433333333333335,4.64111111111111,0.0,"[3.4462429798390435, 0.1, 0.5, 0.32654607620059584, 0.7638588516275455]"
10,10.830690378890448,10.830690378890448,9.9,4.286666666666667,0.0,"[4.4237092742110296, 0.1, 0.5074703662148782, 0.1, 0.7638588516275455]"
11,10.830690378890448,10.830690378890448,9.9,4.286666666666667,0.0,"[4.4237092742110296, 0.1, 0.5074703662148782, 0.1, 0.7638588516275455]"
12,10.814909345298403,10.814909345298403,9.9,4.275555555555556,0.0,"[4.288710120504242, 0.1, 0.5, 0.1, 0.5860331088245014]"
13,10.803672079584523,10.803672079584523,9.866666666666667,4.127777777777778,0.0,"[4.507132080349121, 0.1, 0.5, 0.11309480269256715, 0.5954654511474289]"
14,10.789118998323968,10.789118998323968,9.833333333333334,4.154444444444444,0.0,"[4.540882519192448, 0.1, 0.5, 0.14489966918765573, 0.6303158230969961]"
