config_name,config_label,ga_seed,population_size,generations,mutation_probability,best_fitness,mean_time,mean_fairness_gap,mean_collisions,mean_congestion,accel_factor,agent_rep_weight,agent_radius,all_evacuated
A_default,A (Default),101,24,25,0.2,54.44357919269356,32.3,9.356071428571429,34.0,1.7314363355507065,3.0501255794466564,4.0255429294388465,0.8850720789867081,True
A_default,A (Default),202,24,25,0.2,52.86482195090889,30.620000000000005,8.979285714285714,48.5,1.8612505223374651,4.046374523775032,5.0,0.8835339642026272,True
A_default,A (Default),303,24,25,0.2,52.90911882343038,31.46,8.533928571428572,51.6,1.8012616805732442,3.200985602958106,3.8199879818094393,0.8861418742271526,True
A_default,A (Default),404,24,25,0.2,52.4417029563639,30.93,8.68345238095238,47.0,1.7947981944591338,3.140102795379023,3.9475245289608107,0.8784370911046397,True
A_default,A (Default),505,24,25,0.2,52.889187591404415,30.49,8.677142857142858,63.9,1.849901877118695,4.154290000530201,4.50711429956322,0.8941803721812824,True
A_default,A (Default),606,24,25,0.2,52.279248192708664,30.910000000000004,8.798214285714286,38.0,1.872819621280089,3.743071817950133,4.366113659694787,0.9244952638912916,True
A_default,A (Default),707,24,25,0.2,53.805954758645825,31.28,8.89809523809524,57.6,1.8497642824553417,3.355335163711384,3.6568269916893295,0.9262383837944838,True
A_default,A (Default),808,24,25,0.2,52.69098801494634,30.580000000000002,8.695595238095239,57.5,1.8447975387558617,3.816653555464292,4.237808314213579,0.9026747642822973,True
A_default,A (Default),909,24,25,0.2,91.06569648869856,28.65,8.084880952380953,891.7,1.660934583936638,4.876864050318318,0.886830956655152,2.101674746106929,True
A_default,A (Default),1001,24,25,0.2,54.20324779900001,31.790000000000003,9.042976190476192,50.4,1.8072954180476226,3.2646113633842724,3.745521430665097,0.8966563656701791,True
B_exploration,B (Exploration),101,60,10,0.3,54.33426788572725,31.869999999999997,9.047619047619047,51.5,1.7940297904891565,3.1983406752701273,3.8251303977705997,0.8905861137938814,True
B_exploration,B (Exploration),202,60,10,0.3,53.38174993564857,31.22,8.819880952380952,54.2,1.8119880308866687,3.4860632594563814,3.9639953703113227,0.9332351022594283,True
B_exploration,B (Exploration),303,60,10,0.3,54.195266355005074,31.43,8.8725,66.0,1.720266355005076,3.1293829422803263,3.7352683761176637,0.85458805853879,True
B_exploration,B (Exploration),404,60,10,0.3,55.71237891352794,32.55,9.284880952380954,55.7,1.8076170087660397,2.837016903856581,3.4002371328870695,0.9048615968665568,True
B_exploration,B (Exploration),505,60,10,0.3,54.90257764193185,31.860000000000003,9.121309523809526,59.7,1.8149585943127893,3.1272933830209095,3.79919776769931,0.8698199770813333,True
B_exploration,B (Exploration),606,60,10,0.3,53.596363845848366,31.919999999999998,8.766190476190477,47.1,1.7889828934674104,3.358930591876158,4.031943440756382,0.9205034427522738,True
B_exploration,B (Exploration),707,60,10,0.3,55.92134106190315,33.050000000000004,9.345,47.8,1.79134106190314,2.7974097072153095,3.5564756656434597,0.9007158316637338,True
B_exploration,B (Exploration),808,60,10,0.3,54.32050535092249,31.54,9.077857142857143,54.0,1.9247910652081945,3.5270719072759382,4.371523449563855,0.9070458721169323,True
B_exploration,B (Exploration),909,60,10,0.3,58.57890942167194,30.43,8.881785714285718,171.8,1.7953379931004947,3.86650355189939,3.138356046578947,0.9287209063811304,True
B_exploration,B (Exploration),1001,60,10,0.3,53.870589417278644,32.35,9.072738095238098,31.5,1.8001132268024456,3.4643575532438584,4.394643419785357,0.9166903268656972,True
C_exploitation,C (Exploitation),101,10,60,0.1,87.93236993968402,28.930000000000007,8.35404761904762,813.3,1.6292747015887776,4.925674504119751,0.9427301706350841,2.867661018697334,True
C_exploitation,C (Exploitation),202,10,60,0.1,54.55968734572218,29.51,9.001547619047619,102.6,1.9165921076269483,4.682998552973472,4.526177043773005,0.8979450450612811,True
C_exploitation,C (Exploitation),303,10,60,0.1,53.700653745503786,31.580000000000002,9.23559523809524,37.0,1.799463269313304,3.253185258247157,4.071820204687731,0.9100532005305784,True
C_exploitation,C (Exploitation),404,10,60,0.1,56.950969857571025,33.35,9.3,67.4,1.6309698575710243,2.754376687426821,3.1997194478343416,0.8846162928531194,True
C_exploitation,C (Exploitation),505,10,60,0.1,53.802511267361226,30.0,8.96940476190476,79.7,1.878701743551708,4.630710985386351,4.973164787459687,0.8851537825492852,True
C_exploitation,C (Exploitation),606,10,60,0.1,55.16391671852345,33.32,9.383809523809527,27.0,1.7262976709044033,3.038213474908445,3.970011624448491,0.9318468383753369,True
C_exploitation,C (Exploitation),707,10,60,0.1,127.52921288600353,29.7,8.468690476190478,1583.1,1.736831933622571,3.629602606165359,0.4037247797910477,2.2501751565855392,True
C_exploitation,C (Exploitation),808,10,60,0.1,58.485108989794156,31.390000000000004,9.05797619047619,144.8,1.7391566088417754,3.136230412517898,2.706610158128692,0.9060041930650593,True
C_exploitation,C (Exploitation),909,10,60,0.1,56.30870239951383,31.75,9.091904761904761,91.7,1.7898928757043033,4.042049069432074,3.8577703985025216,0.966889686460989,True
C_exploitation,C (Exploitation),1001,10,60,0.1,53.62321125876227,32.44,8.632738095238095,40.6,1.8877350682860832,3.049581726738356,4.209002174831935,0.8847591332239049,True
