method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1206.408439090859,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[238.13822751322752, 1217.3620833333334, 1471.2665000000002, 115.3075737657026, 141.23514492753625, 1198.9456666666667, 140.6965136054422, 1235.0605555555555, 1176.124668831169, 129.94745670995673]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,1263.4047159613262,100.0,20.1,0.3505,3.3,13.696173777203189,27.794605699855698,14.098431922652509,False,15.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.5842314300652145, 2.316673996498971, 1.2608989211596409, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1238.9229411764707, 1256.6518181818183, 1286.4998214285715, 1306.3101666666666, 1287.1123846153846, 1207.5247619047618, 1217.5902380952382, 1273.8147815126051, 1275.1396031746033, 1284.4806428571428]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,2,1212.5777524992413,100.0,113.1,0.3705,4.1,12.829967223739601,21.934472222222222,9.104504998482621,False,10.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.8274504268389613, 2.0983573320492717, 1.4479143750346395, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1197.503, 1234.1883333333333, 1199.4369898989899, 1185.7912727272728, 1207.2164126984128, 1201.363111111111, 1201.2648586956523, 1170.1026923076922, 1220.5822463768116, 1308.3286078431372]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,3,1616.4983,100.0,1828.4,0.07830000000000001,1.1,,52.9787037037037,,False,37.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.24844727827057878, 2.4180413767178948, 0.7580357219261107, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1649.449, 1657.55, 1603.489, 1601.2640000000001, 1600.839, 1595.408, 1612.6390000000001, 1613.209, 1617.838, 1613.298]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,4,1375.0106027777779,100.0,90.4,0.2102,2.1,16.254194444444444,48.815,32.560805555555554,False,25.4,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.7098185345446579, 1.0573728356339642, 2.7424269027572685, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1346.5654722222223, 1346.6284166666667, 1373.2072222222223, 1397.347, 1390.6961111111111, 1392.4525, 1357.2498611111112, 1379.861111111111, 1404.6093333333333, 1361.489]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,159.00415408693573,28.790000000000003,2483.7,1.9461778964595375,5.9,10.673214285714284,18.839166666666667,8.16595238095238,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.24762166886449, 2.936877228708673, 0.5316667000396589, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[208.0991167434716, 171.3452380952381, 127.6106374807988, 142.78641774891776, 147.0635652785099, 118.17107843137256, 164.6355654761905, 223.23545296167248, 125.05087535014006, 162.0435933030456]","[31.0, 28.0, 27.900000000000002, 26.400000000000002, 27.1, 27.200000000000003, 32.0, 32.800000000000004, 27.200000000000003, 28.3]"
ga,0,6,1062.9821046761801,48.150000000000006,143.9,1.3452197555452248,4.5,14.336230158730157,24.92,10.583769841269843,False,0.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.2515169417782084, 2.1120964969276086, 0.9591750448422096, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[68.60669910637777, 43.261679267807395, 46.12626909254268, 44.58826860841424, 77.09358192779246, 1127.2121111111112, 52.98629829290207, 65.91994047619048, 50.65248618784531, 53.37371269081796]","[38.900000000000006, 35.9, 37.1, 30.900000000000002, 70.3, 100.0, 42.400000000000006, 48.0, 36.2, 41.800000000000004]"
ga,0,7,1246.4362865404375,100.0,40.9,0.3747,3.6,13.372374898922889,25.40554797979798,12.033173080875093,False,13.8,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.00835136435145, 2.1648207071348886, 1.357579960236201, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1231.5961111111112, 1256.6725454545453, 1276.4295, 1269.6772222222223, 1267.5078571428571, 1237.6920789473684, 1209.434984126984, 1221.3091666666667, 1205.7813409090909, 1288.2620588235295]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,1112.9846190736089,73.72,332.7,0.8656534096431191,4.8,11.449189884189884,20.97712121212121,9.527931327931329,False,1.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.9288029955161683, 2.02257955063204, 1.2544729236112828, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[99.8933212267958, 1171.9234848484848, 1140.087986013986, 1134.012294871795, 1133.9218717948718, 49.947738095238094, 58.42454481792717, 58.04616805170822, 1143.2211784511785, 1140.3676025641025]","[35.4, 100.0, 100.0, 100.0, 100.0, 30.0, 35.7, 36.1, 100.0, 100.0]"
ga,0,9,1330.97849500777,100.0,4.3,0.29660000000000003,2.5,20.340948079698084,37.2747380952381,16.93379001554002,False,22.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.748585197918075, 4.922965710590531, 2.3958834293036615, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1318.2627619047619, 1316.6833333333334, 1360.0330357142857, 1295.0615384615385, 1330.7217792207791, 1291.848, 1335.0416363636364, 1330.043642857143, 1353.951, 1378.1382222222223]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
