scenario_name,scenario_label,num_high,num_low,high_fraction,simulation_seed,total_time,fairness_gap_time,near_collisions,mean_congestion,all_evacuated,remaining_agents
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,149,29.400000000000002,10.5,65.0,1.8673469387755102,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,151,30.3,10.884375,37.0,1.8382838283828382,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,157,30.700000000000003,12.303125000000001,80.0,1.5570032573289903,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,163,32.4,10.615625000000001,59.0,1.6697530864197532,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,167,33.9,9.4625,52.0,1.5958702064896755,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,173,32.1,8.28125,29.0,1.5077881619937694,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,179,29.900000000000002,7.921875,47.0,2.5016722408026757,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,181,29.1,10.621875000000001,86.0,1.6357388316151202,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,191,37.1,12.631250000000001,31.0,1.4204851752021563,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,193,26.8,11.568750000000001,35.0,2.0708955223880596,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,197,31.1,10.853125,29.0,1.495176848874598,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,199,30.3,9.334375,76.0,1.528052805280528,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,211,35.1,14.796875,137.0,1.6837606837606838,True,0
high_dominant_80_20,High-mobility dominant (80% / 20%),32,8,0.8,223,27.700000000000003,7.078125,52.0,2.303249097472924,True,0
