run,run_name,ga_seed,best_fitness,accel_factor,agent_rep_weight,agent_radius,mean_time,mean_collisions,mean_fairness_gap
1,run_01,101,54.44357919269356,3.0501255794466564,4.0255429294388465,0.8850720789867081,32.3,34.0,9.356071428571429
2,run_02,202,52.86482195090889,4.046374523775032,5.0,0.8835339642026272,30.620000000000005,48.5,8.979285714285714
3,run_03,303,52.90911882343038,3.200985602958106,3.8199879818094393,0.8861418742271526,31.46,51.6,8.533928571428572
4,run_04,404,52.4417029563639,3.140102795379023,3.9475245289608107,0.8784370911046397,30.93,47.0,8.68345238095238
5,run_05,505,52.889187591404415,4.154290000530201,4.50711429956322,0.8941803721812824,30.49,63.9,8.677142857142858
6,run_06,606,52.279248192708664,3.743071817950133,4.366113659694787,0.9244952638912916,30.910000000000004,38.0,8.798214285714286
7,run_07,707,53.805954758645825,3.355335163711384,3.6568269916893295,0.9262383837944838,31.28,57.6,8.89809523809524
8,run_08,808,52.69098801494634,3.816653555464292,4.237808314213579,0.9026747642822973,30.580000000000002,57.5,8.695595238095239
9,run_09,909,91.06569648869856,4.876864050318318,0.886830956655152,2.101674746106929,28.65,891.7,8.084880952380953
10,run_10,1001,54.20324779900001,3.2646113633842724,3.745521430665097,0.8966563656701791,31.790000000000003,50.4,9.042976190476192
