pair_index,w_time,w_fair,weight_label,ga_seed_selected,n_ga_seeds,best_fitness,mean_time,mean_fairness_gap,mean_collisions,mean_congestion,accel_factor,agent_rep_weight,agent_radius,all_evacuated
1,1.0,0.0,"(1, 0)",202,5,35.06916032113669,30.889999999999997,9.382738095238096,45.9,1.8841603211366984,4.061308419922206,5.0,0.8901604265526191,True
2,1.0,0.5,"(1, 0.5)",202,5,39.633875965751024,31.950000000000006,9.105833333333333,27.5,1.7559592990843556,3.5278064568457665,4.692074372665244,0.9150242144002736,True
3,1.0,1.0,"(1, 1)",505,5,44.01104225010616,31.060000000000002,8.900238095238095,41.9,1.9558041548680616,3.512960062748286,4.517841856167422,0.8886044537313669,True
4,1.0,2.0,"(1, 2)",404,5,52.4417029563639,30.93,8.68345238095238,47.0,1.7947981944591338,3.140102795379023,3.9475245289608107,0.8784370911046397,True
5,0.0,1.0,"(0, 1)",202,5,11.725184125514954,32.34,8.718809523809526,25.5,1.7313746017054286,3.64686121133384,4.7411652752597675,0.9174918726901772,True
